Variable,Index,Value
P_gen,"(1, 3, 15)",51.656333576464945
P_gen,"(1, 3, 16)",50.335521517140876
P_gen,"(1, 3, 17)",3.259786044249921
P_gen,"(1, 3, 18)",0.0
P_gen,"(1, 3, 19)",59.45660102115245
P_gen,"(1, 3, 20)",209.53075613907131
P_gen,"(1, 3, 21)",300.0
P_gen,"(1, 3, 22)",300.0
P_gen,"(1, 3, 23)",300.0
P_gen,"(1, 3, 24)",202.37843423291994
P_gen,"(1, 3, 25)",69.89849258448811
P_gen,"(1, 3, 26)",0.0
P_gen,"(1, 3, 27)",0.0
P_gen,"(1, 3, 28)",0.0
P_gen,"(1, 3, 29)",0.0
P_gen,"(1, 3, 30)",0.0
P_gen,"(1, 3, 31)",0.0
P_gen,"(1, 3, 32)",0.0
P_gen,"(1, 3, 33)",0.0
P_gen,"(1, 3, 34)",0.0
P_gen,"(1, 3, 35)",173.3704108922929
P_gen,"(1, 3, 36)",275.04801847799666
P_gen,"(1, 3, 37)",258.15159251154876
P_gen,"(1, 3, 38)",203.8238512035012
P_gen,"(1, 3, 39)",152.38694383661556
P_gen,"(1, 3, 40)",120.51300753707761
P_gen,"(1, 3, 41)",112.56321419888145
P_gen,"(1, 3, 42)",139.70216387065398
P_gen,"(1, 3, 43)",216.50863116946255
P_gen,"(1, 3, 44)",300.0
P_gen,"(1, 3, 45)",300.0
P_gen,"(1, 3, 46)",300.0
P_gen,"(1, 3, 47)",300.0
P_gen,"(1, 3, 48)",300.0
P_gen,"(1, 3, 49)",198.88949671772437
P_gen,"(1, 3, 50)",35.75674690007286
P_gen,"(1, 3, 51)",0.0
P_gen,"(1, 3, 52)",0.0
P_gen,"(1, 3, 53)",0.0
P_gen,"(1, 3, 54)",0.0
P_gen,"(1, 3, 55)",0.0
P_gen,"(1, 3, 56)",0.0
P_gen,"(1, 3, 57)",0.0
P_gen,"(1, 3, 58)",0.0
P_gen,"(1, 3, 59)",179.87478725990775
P_gen,"(1, 3, 60)",283.69559931923175
P_gen,"(1, 3, 61)",300.0
P_gen,"(1, 3, 62)",300.0
P_gen,"(1, 3, 63)",247.1115973741792
P_gen,"(1, 3, 64)",237.11828349136886
P_gen,"(1, 3, 65)",191.78701677607586
P_gen,"(1, 3, 66)",157.94432287867738
P_gen,"(1, 3, 67)",230.51422319474833
P_gen,"(1, 3, 68)",300.0
P_gen,"(1, 3, 69)",300.0
P_gen,"(1, 3, 70)",300.0
P_gen,"(1, 3, 71)",300.0
P_gen,"(1, 3, 72)",300.0
P_gen,"(1, 3, 73)",195.57500607828828
P_gen,"(1, 3, 74)",56.64053002674454
P_gen,"(1, 3, 75)",0.0
P_gen,"(1, 3, 76)",0.0
P_gen,"(1, 3, 77)",0.0
P_gen,"(1, 3, 78)",0.0
P_gen,"(1, 3, 79)",0.0
P_gen,"(1, 3, 80)",0.0
P_gen,"(1, 3, 81)",0.0
P_gen,"(1, 3, 82)",0.0
P_gen,"(1, 3, 83)",164.8225139800632
P_gen,"(1, 3, 84)",287.7078774617068
P_gen,"(1, 3, 85)",300.0
P_gen,"(1, 3, 86)",300.0
P_gen,"(1, 3, 87)",300.0
P_gen,"(1, 3, 88)",300.0
P_gen,"(1, 3, 89)",300.0
P_gen,"(1, 3, 90)",300.0
P_gen,"(1, 3, 91)",300.0
P_gen,"(1, 3, 92)",300.0
P_gen,"(1, 3, 93)",300.0
P_gen,"(1, 3, 94)",300.0
P_gen,"(1, 3, 95)",300.0
P_gen,"(1, 3, 96)",300.0
P_gen,"(1, 3, 97)",221.59251154874778
P_gen,"(1, 3, 98)",64.59032336494042
P_gen,"(1, 3, 99)",0.0
P_gen,"(1, 3, 100)",0.0
P_gen,"(1, 3, 101)",0.0
P_gen,"(1, 3, 102)",0.0
P_gen,"(1, 3, 103)",0.0
P_gen,"(1, 3, 104)",0.0
P_gen,"(1, 3, 105)",0.0
P_gen,"(1, 3, 106)",6.17554096766353
P_gen,"(1, 3, 107)",196.6964502796012
P_gen,"(1, 3, 108)",300.0
P_gen,"(1, 3, 109)",300.0
P_gen,"(1, 3, 110)",300.0
P_gen,"(1, 3, 111)",300.0
P_gen,"(1, 3, 112)",300.0
P_gen,"(1, 3, 113)",300.0
P_gen,"(1, 3, 114)",300.0
P_gen,"(1, 3, 115)",300.0
P_gen,"(1, 3, 116)",300.0
P_gen,"(1, 3, 117)",300.0
P_gen,"(1, 3, 118)",300.0
P_gen,"(1, 3, 119)",300.0
P_gen,"(1, 3, 120)",300.0
P_gen,"(1, 3, 121)",260.419401896426
P_gen,"(1, 3, 122)",118.71869681497702
P_gen,"(1, 3, 123)",0.0
P_gen,"(1, 3, 124)",0.0
P_gen,"(1, 3, 125)",0.0
P_gen,"(1, 3, 126)",0.0
P_gen,"(1, 3, 127)",0.0
P_gen,"(1, 3, 128)",0.0
P_gen,"(1, 3, 129)",0.0
P_gen,"(1, 3, 130)",79.16909798200828
